gene	pwy	trn	transport	enzyme	BP_GO	Y-ome
EG12267	0	1	0	1	1	0
G7687	0	1	0	0	0	1
EG10519	1	0	0	1	1	0
G7541	0	1	0	0	0	1
EG11426	0	1	0	1	1	0
G7473	0	0	0	0	0	1
EG11409	1	0	0	1	1	0
G7343	0	0	0	0	0	1
EG11340	1	0	0	1	1	0
G7182	0	0	0	0	0	1
G7662	1	0	0	1	1	0
G7050	0	1	0	0	0	1
EG10973	1	1	0	1	1	0
G6947	0	0	0	0	0	1
G6106	1	1	0	1	1	0
G6815	0	1	0	0	0	1
EG10520	1	1	0	1	1	0
G6704	0	0	0	0	0	1
EG11736	1	0	0	1	1	0
G6601	0	1	0	0	0	1
EG11423	1	0	0	1	1	0
G6402	0	0	0	0	1	1
EG11341	1	0	0	1	1	0
G6176	0	1	0	0	0	1
EG11189	1	0	0	1	1	0
G7165	0	0	0	0	1	1
EG10838	1	1	0	1	1	0
EG11093	0	1	0	0	0	1
EG12210	1	1	0	1	1	0
EG10518	1	1	0	1	1	0
EG11425	1	1	0	1	1	0
EG11350	0	0	0	1	1	0
G0-10605	0	0	0	0	0	0
EG11339	1	1	0	1	1	0
G0-10464	0	0	0	0	0	1
EG11982	0	0	0	0	1	0
EG12557	0	1	0	0	1	1
EG11979	1	1	0	1	1	0
EG12254	0	1	0	0	1	1
EG11454	1	1	0	1	1	0
EG11985	0	0	0	0	1	1
EG10382	1	1	0	1	1	0
EG11697	0	0	0	0	0	1
G7090	0	0	0	0	1	0
G7847	0	0	0	0	0	1
EG11983	0	0	0	1	1	0
EG11342	0	1	0	0	0	1
EG11980	0	0	1	0	1	0
G7669	0	1	0	0	0	1
EG11553	1	0	0	1	1	0
G7536	0	0	0	0	1	0
EG11198	1	1	0	1	1	0
G7462	0	0	0	0	1	1
EG12411	1	0	0	1	1	0
G7328	0	0	0	0	0	1
EG11981	1	0	0	1	1	0
G7178	0	1	0	0	1	1
EG11978	1	0	0	1	1	0
G7036	0	0	0	0	0	1
G7101	0	0	0	0	1	1
G6931	0	1	0	0	0	1
G7098	0	0	0	1	1	0
G6792	0	1	0	0	1	1
G7094	0	0	0	0	1	1
G6663	0	1	0	0	1	1
G7239	0	0	0	0	1	1
G6536	0	0	0	0	0	1
EG11789	0	0	0	1	1	0
G6335	0	1	0	0	0	1
G7105	0	1	0	1	1	0
G6118	0	1	0	0	1	1
G7102	0	0	0	1	1	1
EG10820	0	1	0	0	1	0
G7099	0	1	0	1	1	1
EG10848	0	0	0	0	0	1
G7095	0	0	0	0	1	1
EG11790	0	0	0	1	1	1
G7106	0	1	0	1	1	0
G7103	0	1	0	1	1	1
G0-10596	0	0	0	0	0	1
EG10821	1	1	0	0	1	0
G0-10456	0	0	0	0	1	0
G7100	0	1	0	1	1	1
EG12405	0	1	0	0	0	1
G7096	0	0	0	0	1	1
EG12214	0	0	0	0	0	1
EG10162	1	0	0	1	1	0
EG11928	0	1	0	0	0	1
G7091	1	1	0	1	1	0
G7954	0	1	0	0	0	1
G7107	0	1	0	0	1	0
EG11677	0	0	0	0	1	1
EG11788	1	0	0	1	1	0
G7802	0	0	0	0	0	1
G7104	0	1	0	0	1	1
G7645	0	1	0	0	0	1
EG10822	1	0	0	1	1	0
G7522	0	0	0	0	0	1
G6343	1	1	0	1	1	0
G7448	0	0	0	0	0	1
EG11095	1	0	0	1	1	0
G7307	0	1	0	0	0	1
EG50003	1	1	0	0	1	0
G7144	0	0	0	0	0	1
EG10275	0	1	0	0	1	0
G7010	0	0	0	0	0	1
EG10417	1	1	0	1	1	0
G6911	0	0	0	0	0	1
EG12294	1	0	0	1	1	0
G6772	0	0	0	0	0	0
EG11031	1	1	0	0	1	0
G6640	0	1	0	0	0	1
EG12688	1	0	0	1	0	0
G6510	0	0	0	0	1	1
EG11887	1	1	0	0	0	0
G6231	0	1	0	0	0	0
G7401	1	1	0	0	1	0
G6101	0	0	0	0	0	1
EG12181	0	1	0	0	1	0
EG12169	0	1	1	0	1	0
EG12055	0	1	1	0	1	0
EG10216	0	1	0	0	0	1
EG12052	0	1	0	0	1	0
EG12178	1	0	0	0	1	0
EG12057	0	1	1	0	1	0
G0-10654	0	1	0	0	0	1
EG12053	0	1	0	0	1	0
G0-10590	0	0	0	0	0	1
G6554	0	0	0	0	1	1
G0-10432	0	0	0	0	0	1
EG12058	0	1	1	0	1	0
EG12372	0	0	0	0	1	0
EG12054	0	1	0	0	1	0
EG12182	0	0	0	0	0	1
G6544	0	1	0	0	1	0
EG11833	0	0	0	0	0	1
G6548	0	1	0	0	0	1
G7937	0	0	0	0	0	1
EG10839	0	1	0	0	1	0
